name,lat ,lon,銘柄
（有）丸石酒販,35.7356561,139.5077486,"['多満自慢']"
水新酒店,35.7475392,139.4694428,"['多満自慢']"
（株）さかいや,35.749582,139.2278297,"['多満自慢', '大雪渓']"
酒のひろせ - （有）リカーズひろせ,35.6552901,139.3139456,"['多満自慢']"
（株）オーソリティ　小田急町田店,35.5439867,139.4451038,"['甲子']"
さかや栗原 町田店 - （株）栗原,35.5370101,139.4702363,"['仙禽']"
（有）長塚商店,35.712333,139.3611952,"['多満自慢', '大雪渓']"
リカーベース福生 - （有）瀬古本店,35.7440529,139.3282495,"['多満自慢']"
（有）宏川屋酒店,35.7933739,139.2651348,"['多満自慢']"
蓬莱屋支店,35.7836302,139.233295,"['多満自慢']"
籠屋 - （有）秋元商店,35.6230161,139.5871661,"['甲子']"
（株）三浦屋 東伏見店,35.7295077,139.5656614,"['多満自慢']"
（株）福島屋　ファンタス羽村店,35.7617411,139.3193846,"['多満自慢']"
（有）小山商店,35.6448888,139.4511936,"['多満自慢']"
（株）いまでや,35.5783143,140.1666373,"['仙禽']"
（有）高石酒店,35.5760618,140.1322101,"['甲子']"
リカーショップ　ウダ - （株）ソーヨー,35.624122,140.0658073,"['開華']"
ＳＯＬ ｂｙ Ｋ - （株）北澤,35.6437986,140.0447399,"['開華']"
させ酒店 - （有）佐瀬酒店,35.6345992,140.110573,"['甲子']"
田中屋酒店,35.8345805,140.1490059,"['甲子']"
(有)酒乃なべだな - （有）なべだなフード,35.8398683,140.1437321,"['甲子']"
（有）はたや商店,35.7970449,139.9705526,"['甲子']"
（株）日暮商店,35.7832025,139.897045,"['開華']"
酒の及川 - （株）ティーエルエス,35.7188174,139.9202411,"['甲子']"
（株）島田屋　業務スーパー　行徳店,35.681482,139.9257977,"['開華', '甲子']"
（株）石渡商店,35.7281055,139.9204673,"['甲子']"
（有）成桝商店,35.7459699,139.9104784,"['甲子']"
（有）小室商店,35.7150173,139.9429779,"['甲子']"
（株）いずみや,35.7670826,140.0086625,"['仙禽']"
升本酒店前原店,35.6984488,140.0285974,"['甲子']"
（株）やつや,35.7006188,140.0285312,"['甲子']"
（有）小西屋,35.752095,140.0844555,"['甲子']"
美好屋酒店 - （株）リカーズ美好屋,35.7007409,140.0892577,"['甲子']"
生鮮館シマダヤ光ケ丘店 - （株）島田屋,35.8275518,139.9571126,"['開華']"
（有）なにわや,35.669569,140.1649557,"['甲子']"
（有）さつきや,35.710794,140.1557655,"['甲子']"
（株）青野商店,35.7831165,140.320842,"['甲子']"
（有）杉井酒店,35.6590774,140.3196366,"['甲子']"
斉藤酒店,35.424056,140.3283573,"['甲子']"
（有）杉井,35.4291051,140.3038436,"['甲子']"
酒楽喜 - （有）ラッキー,35.2528638,140.3961534,"['甲子']"
（有）リカーショップ京町セソール,35.5119814,139.6970788,"['盛升']"
酒蔵楽　かさい,35.5778982,139.6334866,"['開華']"
地酒本舗　小島屋 - （株）小島屋酒店,35.6225544,139.5670271,"['甲子', '多満自慢', '盛升']"
武田商店,35.6212205,139.5487948,"['盛升']"
（株）髙島屋　横浜店,35.4653132,139.6208271,"['仙禽']"
（株）横溝,35.5422712,139.6142991,"['盛升']"
（株）坂口屋,35.5234573,139.5213775,"['天覧山']"
（有）福島屋酒店,35.5191387,139.6712584,"['甲子']"
（株）横濱屋,35.4280827,139.607338,"['盛升']"
（有）上原商店,35.377647,139.5625974,"['越の誉']"
（有）青木屋,35.331522,139.6207864,"['盛升']"
(有)酒室カサイ - （有）酒室商店,35.2254423,139.6901929,"['盛升']"
（有）菅野酒店,35.4605997,139.5053705,"['盛升']"
（有）長谷川越後屋酒店,35.505266,139.4487949,"['盛升']"
（有）大黒屋横田商店,35.4320887,139.5499493,"['甲子', '大雪渓', '盛升']"
（株）高崎屋本店,35.3167775,139.5493742,"['盛升']"
（有）リカーハウス　トミー,35.3607474,139.4461437,"['甲子']"
（有）田嶋商店,35.5959033,139.3210203,"['盛升']"
柳島屋　青木商店,35.3199814,139.3827303,"['天寿', '仙禽', '甲子']"
ＢＯＮ　蔵 - （株）ウチヤマ酒店,35.3113826,139.2455194,"['甲子']"
（株）宮酒,35.3317331,139.2353574,"['若竹', '盛升']"
（株）酒千庵　水上,36.5988652,136.6781476,"['萬歳楽']"
酒のみの川 - （株）みの川,36.5586985,136.6837948,"['萬歳楽']"
（株）良知経営　パスポート御経塚店,36.5470397,136.5936328,"['萬歳楽']"
（株）寿屋　金沢本部,36.5295656,136.6019958,"['萬歳楽']"
（株）酒のカワサキグループ　　ショック店,36.3152883,136.3590057,"['萬歳楽']"
ＣＡＶＥＳ　ＤＥ　ＬＡますもと - （株）升々,37.0053372,136.7778385,"['萬歳楽']"
（有）富田酒店,37.0475166,136.9658391,"['萬歳楽']"
リカーボス福光店 - （株）モリフジ,36.5554144,136.8747923,"['萬歳楽']"
リカーステーション　オオノヤ - （株）大野屋酒店,35.4008307,136.7268331,"['長良川']"
（資）藤井商店,35.4247081,136.7502279,"['長良川']"
ルナ・テーブル　島本屋 - （有）島本屋,35.4838475,136.5813596,"['長良川']"
（株）丸三　三河屋,35.3403781,137.1165934,"['蓬莱泉']"
（株）各務　油屋,35.414103,136.8882399,"['長良川']"
（株）ハトヤ商会,36.6473804,138.216654,"['大雪渓']"
（有）野本商店,36.5620166,138.2024047,"['大雪渓']"
山屋酒店,36.2364678,137.9276815,"['信濃錦', '大雪渓']"
